City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,carutapera,-1.195,-46.02,25.46,91,36,2.6,BR,1684205700
280,huarmey,-10.0681,-78.1522,22.43,80,100,4.66,PE,1684205700
281,aranos,-24.1333,19.1167,12.35,52,64,4.29,NA,1684205701
282,namatanai,-3.6667,152.4333,28.99,76,36,2.05,PG,1684205701
283,ola,59.5833,151.2833,6.75,69,99,7.92,RU,1684205701
284,tabou,4.423,-7.3528,24.51,94,100,3.95,CI,1684205701
285,moletai,55.2333,25.4167,12.25,95,100,5.56,LT,1684205702
286,haines junction,60.7522,-137.5108,13.97,28,26,5.14,CA,1684205702
287,airai,-8.9266,125.4092,22.84,52,30,1.09,TL,1684205702
288,karonga,-9.9333,33.9333,21.11,89,76,1.03,MW,1684205703
289,port hawkesbury,45.6169,-61.3485,12.85,51,100,9.26,CA,1684205703
290,heerde,52.3872,6.0402,7.06,88,47,1.79,NL,1684205703
291,chapais,49.7834,-74.8492,6.88,57,100,4.51,CA,1684205703
292,chingola,-12.529,27.8838,13.4,78,16,2.13,ZM,1684205704
293,batemans bay,-35.7167,150.1833,20.71,34,3,1.76,AU,1684205704
294,pandan,14.0453,124.1694,30.11,73,96,1.19,PH,1684205706
295,kazlu ruda,54.7667,23.5,12.99,92,100,4.67,LT,1684205706
296,nouadhibou,20.931,-17.0347,18.99,94,27,5.66,MR,1684205706
297,jaca,42.569,-0.5499,6.73,78,92,3.44,ES,1684205707
298,doka,13.5167,35.7667,30.18,14,7,0.39,SD,1684205707
299,riverton,40.5219,-111.9391,18.44,46,0,2.06,US,1684205410
300,ulladulla,-35.35,150.4667,19.87,46,0,2.73,AU,1684205707
301,sabzevar,36.2126,57.6819,13.87,59,97,5.14,IR,1684205709
302,pringsewu,-5.3582,104.9744,29.87,65,19,1.67,ID,1684205709
303,shingu,33.7333,135.9833,23.55,49,0,2.33,JP,1684205710
304,yokaichi,35.1139,136.2037,20.82,45,1,1.93,JP,1684205710
305,kanodar,24.1,72.3833,30.24,61,17,4.84,IN,1684205711
306,ileza,61.0533,43.9002,12.7,55,55,1.11,RU,1684205711
307,port hueneme,34.1478,-119.1951,15.89,89,100,4.12,US,1684205711
308,koutiala,12.3917,-5.4642,28.11,62,99,3.83,ML,1684205712
309,ishigaki,24.3448,124.1572,27.07,74,75,6.69,JP,1684205712
310,vilyuysk,63.7553,121.6247,8.57,62,100,2.38,RU,1684205712
311,pueblo nuevo,23.3833,-105.3833,13.4,55,80,1.49,MX,1684205712
312,salamanca,40.8333,-6.0,6.88,93,19,4.59,ES,1684205713
313,marsh harbour,26.5412,-77.0636,24.97,79,74,5.61,BS,1684205713
314,vila velha,-20.3297,-40.2925,22.75,87,75,4.63,BR,1684205713
315,majene,-3.5403,118.9707,28.92,73,100,2.73,ID,1684205714
316,omboue,-1.5746,9.2618,25.31,94,100,2.23,GA,1684205714
